max_fitness,seed,task,sampling,repertoire,coverage1,coverage2,coverage3
4.1348214,5,BridgeWalker-v0,all,g3,0.68359375,2.9296875,2.5390625
3.367184,5,BridgeWalker-v0,s1,g1,4.8828125,0.87890625,2.0507812
3.4228542,5,BridgeWalker-v0,s1,g2,2.734375,4.8828125,2.34375
3.367184,5,BridgeWalker-v0,s1,g3,2.1484375,1.4648438,2.34375
3.342816,5,BridgeWalker-v0,s2,g1,4.1015625,3.90625,1.2695312
4.5130596,5,BridgeWalker-v0,s2,g2,0.1953125,4.8828125,1.2695312
4.34382,5,BridgeWalker-v0,s2,g3,0.29296875,3.90625,1.8554688
2.2041001,5,BridgeWalker-v0,s3,g1,4.0039062,2.9296875,2.8320312
3.5498712,5,BridgeWalker-v0,s3,g2,0.1953125,4.8828125,2.6367188
3.5883527,5,BridgeWalker-v0,s3,g3,0.1953125,2.6367188,2.0507812
3.5523407,6,BridgeWalker-v0,ga,all,,,
4.2266297,6,BridgeWalker-v0,all,g1,4.8828125,3.4179688,1.5625
4.2584143,6,BridgeWalker-v0,all,g2,0.29296875,4.8828125,2.0507812
4.2584143,6,BridgeWalker-v0,all,g3,0.29296875,2.2460938,2.2460938
3.87842,6,BridgeWalker-v0,s1,g1,4.8828125,1.2695312,0.87890625
3.9432917,6,BridgeWalker-v0,s1,g2,2.8320312,4.8828125,1.171875
3.6889713,6,BridgeWalker-v0,s1,g3,3.125,1.3671875,0.78125
3.395632,6,BridgeWalker-v0,s2,g1,4.1992188,3.7109375,2.1484375
3.355595,6,BridgeWalker-v0,s2,g2,0.1953125,4.8828125,0.78125
3.8326123,6,BridgeWalker-v0,s2,g3,0.1953125,3.125,0.87890625
3.179011,6,BridgeWalker-v0,s3,g1,4.8828125,3.8085938,2.4414062
3.644063,6,BridgeWalker-v0,s3,g2,0.1953125,4.8828125,3.125
3.644063,6,BridgeWalker-v0,s3,g3,0.1953125,2.8320312,3.0273438
3.677422,7,BridgeWalker-v0,ga,all,,,
3.6818545,7,BridgeWalker-v0,all,g1,4.8828125,3.6132812,2.34375
4.168159,7,BridgeWalker-v0,all,g2,0.390625,4.8828125,1.5625
4.1399274,7,BridgeWalker-v0,all,g3,0.68359375,2.5390625,2.8320312
6.525665,7,BridgeWalker-v0,s1,g1,4.8828125,1.6601562,1.2695312
6.527506,7,BridgeWalker-v0,s1,g2,2.6367188,4.8828125,1.5625
6.529983,7,BridgeWalker-v0,s1,g3,2.9296875,1.5625,1.6601562
3.676509,7,BridgeWalker-v0,s2,g1,4.296875,3.90625,1.4648438
3.5256324,7,BridgeWalker-v0,s2,g2,0.09765625,4.8828125,0.68359375
3.8923225,7,BridgeWalker-v0,s2,g3,0.390625,4.5898438,1.2695312
2.1922052,7,BridgeWalker-v0,s3,g1,3.8085938,2.5390625,2.2460938
3.830149,7,BridgeWalker-v0,s3,g2,0.390625,4.8828125,2.6367188
3.830149,7,BridgeWalker-v0,s3,g3,0.1953125,1.8554688,2.1484375
1.9628772,8,BridgeWalker-v0,ga,all,,,
2.870694,8,BridgeWalker-v0,all,g1,4.8828125,2.8320312,1.8554688
2.9460254,8,BridgeWalker-v0,all,g2,0.29296875,4.8828125,1.3671875
2.9460254,8,BridgeWalker-v0,all,g3,0.390625,3.2226562,1.4648438
3.251863,8,BridgeWalker-v0,s1,g1,4.8828125,1.953125,0.68359375
3.4322255,8,BridgeWalker-v0,s1,g2,3.0273438,4.8828125,0.87890625
3.3770194,8,BridgeWalker-v0,s1,g3,2.4414062,2.2460938,0.87890625
2.7894459,8,BridgeWalker-v0,s2,g1,4.4921875,3.90625,1.953125
3.192473,8,BridgeWalker-v0,s2,g2,0.1953125,4.8828125,2.0507812
3.7142892,8,BridgeWalker-v0,s2,g3,0.1953125,4.0039062,2.0507812
3.0689282,8,BridgeWalker-v0,s3,g1,3.7109375,2.734375,2.34375
4.510435,8,BridgeWalker-v0,s3,g2,0.29296875,4.8828125,2.1484375
4.510435,8,BridgeWalker-v0,s3,g3,0.29296875,3.125,2.34375
1.8640085,9,BridgeWalker-v0,ga,all,,,
6.553039,9,BridgeWalker-v0,all,g1,4.8828125,3.125,1.6601562
6.53059,9,BridgeWalker-v0,all,g2,0.09765625,4.8828125,2.34375
6.53059,9,BridgeWalker-v0,all,g3,0.09765625,3.0273438,2.1484375
4.3916245,9,BridgeWalker-v0,s1,g1,4.8828125,1.8554688,1.3671875
4.7045245,9,BridgeWalker-v0,s1,g2,3.4179688,4.8828125,1.4648438
4.5321116,9,BridgeWalker-v0,s1,g3,3.3203125,1.8554688,0.9765625
3.710914,9,BridgeWalker-v0,s2,g1,4.1015625,4.1015625,2.1484375
4.650009,9,BridgeWalker-v0,s2,g2,0.09765625,4.8828125,1.7578125
4.7313366,9,BridgeWalker-v0,s2,g3,0.1953125,3.515625,1.7578125
3.9646492,9,BridgeWalker-v0,s3,g1,4.296875,3.515625,2.0507812
4.720763,9,BridgeWalker-v0,s3,g2,0.09765625,4.8828125,0.68359375
5.038474,9,BridgeWalker-v0,s3,g3,0.09765625,1.5625,0.48828125
4.43961,0,CustomCarrier-v0,ga,all,,,
8.365746,0,CustomCarrier-v0,all,g1,4.8828125,3.4179688,3.6132812
8.365746,0,CustomCarrier-v0,all,g2,0.29296875,4.8828125,2.9296875
9.269472,0,CustomCarrier-v0,all,g3,0.390625,3.515625,3.8085938
1.7623147,0,CustomCarrier-v0,s1,g1,4.8828125,0.9765625,2.6367188
2.3851964,0,CustomCarrier-v0,s1,g2,3.0273438,4.8828125,3.4179688
2.0509076,0,CustomCarrier-v0,s1,g3,2.5390625,1.3671875,3.4179688
3.0332007,0,CustomCarrier-v0,s2,g1,4.1015625,3.8085938,2.2460938
4.7412567,0,CustomCarrier-v0,s2,g2,0.1953125,4.8828125,3.2226562
4.7412567,0,CustomCarrier-v0,s2,g3,0.1953125,3.125,3.515625
3.2651453,0,CustomCarrier-v0,s3,g1,3.8085938,2.5390625,2.734375
5.42919,0,CustomCarrier-v0,s3,g2,0.1953125,4.8828125,4.1015625
5.674097,0,CustomCarrier-v0,s3,g3,0.1953125,2.2460938,3.6132812
0.01536921,1,CustomCarrier-v0,ga,all,,,
7.4211354,1,CustomCarrier-v0,all,g1,4.8828125,2.734375,4.0039062
7.4211354,1,CustomCarrier-v0,all,g2,0.29296875,4.8828125,3.90625
7.4211354,1,CustomCarrier-v0,all,g3,0.48828125,1.953125,2.8320312
4.816843,1,CustomCarrier-v0,s1,g1,4.8828125,1.7578125,2.6367188
4.427321,1,CustomCarrier-v0,s1,g2,3.0273438,4.8828125,3.2226562
4.855749,1,CustomCarrier-v0,s1,g3,2.4414062,1.6601562,3.2226562
3.9914086,1,CustomCarrier-v0,s2,g1,4.4921875,3.90625,2.2460938
5.193185,1,CustomCarrier-v0,s2,g2,0.1953125,4.8828125,2.34375
5.193185,1,CustomCarrier-v0,s2,g3,0.1953125,3.3203125,3.515625
2.67355,1,CustomCarrier-v0,s3,g1,4.5898438,3.3203125,2.9296875
4.5730023,1,CustomCarrier-v0,s3,g2,0.29296875,4.8828125,3.515625
4.6336327,1,CustomCarrier-v0,s3,g3,0.09765625,1.7578125,3.0273438
2.3281312,2,CustomCarrier-v0,ga,all,,,
10.574609,2,CustomCarrier-v0,all,g1,4.8828125,2.9296875,4.1015625
10.497575,2,CustomCarrier-v0,all,g2,0.1953125,4.8828125,3.7109375
10.574609,2,CustomCarrier-v0,all,g3,0.29296875,2.4414062,3.90625
4.481924,2,CustomCarrier-v0,s1,g1,4.8828125,0.78125,1.7578125
4.481924,2,CustomCarrier-v0,s1,g2,2.8320312,4.8828125,2.34375
4.481924,2,CustomCarrier-v0,s1,g3,2.6367188,1.6601562,2.9296875
2.3825593,2,CustomCarrier-v0,s2,g1,4.1015625,3.90625,1.8554688
2.726745,2,CustomCarrier-v0,s2,g2,0.1953125,4.8828125,2.8320312
3.9348426,2,CustomCarrier-v0,s2,g3,0.1953125,3.2226562,3.0273438
5.4772243,2,CustomCarrier-v0,s3,g1,4.8828125,3.3203125,2.4414062
5.0053263,2,CustomCarrier-v0,s3,g2,0.390625,4.8828125,3.7109375
5.2945895,2,CustomCarrier-v0,s3,g3,0.1953125,1.5625,3.2226562
0.8231325,3,CustomCarrier-v0,ga,all,,,
6.62024,3,CustomCarrier-v0,all,g1,4.8828125,3.8085938,3.8085938
7.2001905,3,CustomCarrier-v0,all,g2,0.390625,4.8828125,3.4179688
7.2825665,3,CustomCarrier-v0,all,g3,0.390625,2.8320312,3.6132812
4.487362,3,CustomCarrier-v0,s1,g1,4.8828125,1.2695312,2.34375
4.487362,3,CustomCarrier-v0,s1,g2,2.8320312,4.8828125,3.6132812
4.487362,3,CustomCarrier-v0,s1,g3,2.5390625,1.171875,3.3203125
6.744884,3,CustomCarrier-v0,s2,g1,4.0039062,3.6132812,2.34375
8.482486,3,CustomCarrier-v0,s2,g2,0.09765625,4.8828125,2.734375
8.393914,3,CustomCarrier-v0,s2,g3,0.09765625,2.6367188,3.125
5.229969,3,CustomCarrier-v0,s3,g1,4.6875,2.8320312,3.6132812
6.73347,3,CustomCarrier-v0,s3,g2,0.09765625,4.8828125,3.90625
5.7797256,3,CustomCarrier-v0,s3,g3,0.09765625,0.9765625,3.7109375
3.186803,4,CustomCarrier-v0,ga,all,,,
2.1435678,4,CustomCarrier-v0,all,g1,4.8828125,2.6367188,3.3203125
2.2877767,4,CustomCarrier-v0,all,g2,0.5859375,4.8828125,2.6367188
2.1370118,4,CustomCarrier-v0,all,g3,0.5859375,2.9296875,3.515625
4.8110714,4,CustomCarrier-v0,s1,g1,4.8828125,1.953125,2.6367188
6.243494,4,CustomCarrier-v0,s1,g2,1.6601562,4.8828125,3.4179688
8.9303665,4,CustomCarrier-v0,s1,g3,1.2695312,1.953125,3.515625
6.165752,4,CustomCarrier-v0,s2,g1,4.0039062,3.3203125,2.6367188
6.41381,4,CustomCarrier-v0,s2,g2,0.09765625,4.8828125,2.5390625
6.41381,4,CustomCarrier-v0,s2,g3,0.390625,3.4179688,3.4179688
3.8941264,4,CustomCarrier-v0,s3,g1,4.1992188,1.953125,2.8320312
5.004794,4,CustomCarrier-v0,s3,g2,0.48828125,4.8828125,3.90625
5.004794,4,CustomCarrier-v0,s3,g3,0.390625,1.8554688,3.7109375
-0.14568749,5,CustomCarrier-v0,ga,all,,,
5.2058516,5,CustomCarrier-v0,all,g1,4.8828125,3.8085938,3.6132812
3.8747282,5,CustomCarrier-v0,all,g2,0.5859375,4.8828125,3.515625
3.8747282,5,CustomCarrier-v0,all,g3,0.68359375,2.9296875,3.515625
3.4972582,5,CustomCarrier-v0,s1,g1,4.8828125,0.87890625,2.1484375
3.4972582,5,CustomCarrier-v0,s1,g2,2.734375,4.8828125,3.7109375
3.5998297,5,CustomCarrier-v0,s1,g3,2.1484375,1.4648438,3.125
3.6542873,5,CustomCarrier-v0,s2,g1,4.1015625,3.90625,2.2460938
5.2517,5,CustomCarrier-v0,s2,g2,0.1953125,4.8828125,1.6601562
5.2324147,5,CustomCarrier-v0,s2,g3,0.29296875,3.90625,3.125
2.7756238,5,CustomCarrier-v0,s3,g1,4.0039062,2.9296875,3.4179688
3.2224681,5,CustomCarrier-v0,s3,g2,0.1953125,4.8828125,3.8085938
3.0610595,5,CustomCarrier-v0,s3,g3,0.1953125,2.6367188,3.4179688
2.124762,6,CustomCarrier-v0,ga,all,,,
3.7682166,6,CustomCarrier-v0,all,g1,4.8828125,3.4179688,3.4179688
3.7682166,6,CustomCarrier-v0,all,g2,0.29296875,4.8828125,3.8085938
3.7682166,6,CustomCarrier-v0,all,g3,0.29296875,2.2460938,4.1015625
5.72543,6,CustomCarrier-v0,s1,g1,4.8828125,1.2695312,2.1484375
5.72543,6,CustomCarrier-v0,s1,g2,2.8320312,4.8828125,2.8320312
4.711333,6,CustomCarrier-v0,s1,g3,3.125,1.3671875,2.6367188
3.1273212,6,CustomCarrier-v0,s2,g1,4.1992188,3.7109375,2.6367188
5.8870997,6,CustomCarrier-v0,s2,g2,0.1953125,4.8828125,3.125
5.346208,6,CustomCarrier-v0,s2,g3,0.1953125,3.125,3.3203125
3.1415243,6,CustomCarrier-v0,s3,g1,4.8828125,3.8085938,3.515625
2.056647,6,CustomCarrier-v0,s3,g2,0.1953125,4.8828125,4.1992188
2.241719,6,CustomCarrier-v0,s3,g3,0.1953125,2.8320312,4.1992188
5.3675947,7,CustomCarrier-v0,ga,all,,,
5.823409,7,CustomCarrier-v0,all,g1,4.8828125,3.6132812,3.2226562
9.5151825,7,CustomCarrier-v0,all,g2,0.390625,4.8828125,1.7578125
8.86523,7,CustomCarrier-v0,all,g3,0.68359375,2.5390625,3.125
10.471333,7,CustomCarrier-v0,s1,g1,4.8828125,1.6601562,2.6367188
10.471333,7,CustomCarrier-v0,s1,g2,2.6367188,4.8828125,3.125
10.473253,7,CustomCarrier-v0,s1,g3,2.9296875,1.5625,2.6367188
2.2717757,7,CustomCarrier-v0,s2,g1,4.296875,3.90625,2.2460938
4.738419,7,CustomCarrier-v0,s2,g2,0.09765625,4.8828125,2.734375
4.738419,7,CustomCarrier-v0,s2,g3,0.390625,4.5898438,2.8320312
4.0942655,7,CustomCarrier-v0,s3,g1,3.8085938,2.5390625,2.8320312
6.270284,7,CustomCarrier-v0,s3,g2,0.390625,4.8828125,3.6132812
6.270284,7,CustomCarrier-v0,s3,g3,0.1953125,1.8554688,3.7109375
0.28228152,8,CustomCarrier-v0,ga,all,,,
3.2177138,8,CustomCarrier-v0,all,g1,4.8828125,2.8320312,2.9296875
5.516784,8,CustomCarrier-v0,all,g2,0.29296875,4.8828125,2.8320312
7.2876096,8,CustomCarrier-v0,all,g3,0.390625,3.2226562,4.1992188
2.7139447,8,CustomCarrier-v0,s1,g1,4.8828125,1.953125,3.0273438
4.3577943,8,CustomCarrier-v0,s1,g2,3.0273438,4.8828125,3.2226562
3.2903445,8,CustomCarrier-v0,s1,g3,2.4414062,2.2460938,3.4179688
2.5346181,8,CustomCarrier-v0,s2,g1,4.4921875,3.90625,2.2460938
3.9677336,8,CustomCarrier-v0,s2,g2,0.1953125,4.8828125,3.2226562
4.2977524,8,CustomCarrier-v0,s2,g3,0.1953125,4.0039062,3.6132812
2.994439,8,CustomCarrier-v0,s3,g1,3.7109375,2.734375,2.9296875
6.9174085,8,CustomCarrier-v0,s3,g2,0.29296875,4.8828125,4.1992188
6.9174085,8,CustomCarrier-v0,s3,g3,0.29296875,3.125,3.90625
0.88982314,9,CustomCarrier-v0,ga,all,,,
7.092209,9,CustomCarrier-v0,all,g1,4.8828125,3.125,3.3203125
9.117898,9,CustomCarrier-v0,all,g2,0.09765625,4.8828125,3.7109375
8.916133,9,CustomCarrier-v0,all,g3,0.09765625,3.0273438,3.515625
4.7896442,9,CustomCarrier-v0,s1,g1,4.8828125,1.8554688,2.4414062
5.2388697,9,CustomCarrier-v0,s1,g2,3.4179688,4.8828125,2.9296875
4.7896442,9,CustomCarrier-v0,s1,g3,3.3203125,1.8554688,3.125
7.415567,9,CustomCarrier-v0,s2,g1,4.1015625,4.1015625,2.2460938
7.66751,9,CustomCarrier-v0,s2,g2,0.09765625,4.8828125,3.2226562
7.66751,9,CustomCarrier-v0,s2,g3,0.1953125,3.515625,3.7109375
3.2076805,9,CustomCarrier-v0,s3,g1,4.296875,3.515625,3.0273438
7.4404335,9,CustomCarrier-v0,s3,g2,0.09765625,4.8828125,3.4179688
8.2502,9,CustomCarrier-v0,s3,g3,0.09765625,1.5625,3.125
-2.9779751,0,PlatformJumper-v0,ga,all,,,
1.3655131,0,PlatformJumper-v0,all,g1,4.8828125,3.4179688,2.734375
1.610694,0,PlatformJumper-v0,all,g2,0.29296875,4.8828125,1.171875
1.610694,0,PlatformJumper-v0,all,g3,0.390625,3.515625,1.6601562
1.1236906,0,PlatformJumper-v0,s1,g1,4.8828125,0.9765625,1.2695312
1.1444963,0,PlatformJumper-v0,s1,g2,3.0273438,4.8828125,1.6601562
1.1472839,0,PlatformJumper-v0,s1,g3,2.5390625,1.3671875,1.4648438
1.3437854,0,PlatformJumper-v0,s2,g1,4.1015625,3.8085938,2.0507812
5.9447756,0,PlatformJumper-v0,s2,g2,0.1953125,4.8828125,1.7578125
5.671137,0,PlatformJumper-v0,s2,g3,0.1953125,3.125,1.8554688
1.2750373,0,PlatformJumper-v0,s3,g1,3.8085938,2.5390625,2.34375
2.314592,0,PlatformJumper-v0,s3,g2,0.1953125,4.8828125,2.0507812
1.3077092,0,PlatformJumper-v0,s3,g3,0.1953125,2.2460938,1.3671875
1.1924365,1,PlatformJumper-v0,ga,all,,,
1.6057613,1,PlatformJumper-v0,all,g1,4.8828125,2.734375,2.6367188
2.6699002,1,PlatformJumper-v0,all,g2,0.29296875,4.8828125,2.734375
1.4083993,1,PlatformJumper-v0,all,g3,0.48828125,1.953125,1.5625
1.4761188,1,PlatformJumper-v0,s1,g1,4.8828125,1.7578125,1.5625
2.9760451,1,PlatformJumper-v0,s1,g2,3.0273438,4.8828125,1.7578125
1.4637911,1,PlatformJumper-v0,s1,g3,2.4414062,1.6601562,1.7578125
2.5629492,1,PlatformJumper-v0,s2,g1,4.4921875,3.90625,2.1484375
1.7423522,1,PlatformJumper-v0,s2,g2,0.1953125,4.8828125,1.2695312
2.5629492,1,PlatformJumper-v0,s2,g3,0.1953125,3.3203125,2.0507812
1.5889499,1,PlatformJumper-v0,s3,g1,4.5898438,3.3203125,2.5390625
1.5710247,1,PlatformJumper-v0,s3,g2,0.29296875,4.8828125,2.1484375
1.5710247,1,PlatformJumper-v0,s3,g3,0.09765625,1.7578125,2.0507812
-1.732189,2,PlatformJumper-v0,ga,all,,,
1.7090304,2,PlatformJumper-v0,all,g1,4.8828125,2.9296875,2.6367188
2.9556408,2,PlatformJumper-v0,all,g2,0.1953125,4.8828125,2.6367188
6.5954914,2,PlatformJumper-v0,all,g3,0.29296875,2.4414062,2.34375
1.2628157,2,PlatformJumper-v0,s1,g1,4.8828125,0.78125,0.48828125
1.3868532,2,PlatformJumper-v0,s1,g2,2.8320312,4.8828125,1.171875
1.3075945,2,PlatformJumper-v0,s1,g3,2.6367188,1.6601562,1.4648438
1.4917622,2,PlatformJumper-v0,s2,g1,4.1015625,3.90625,2.0507812
1.1284356,2,PlatformJumper-v0,s2,g2,0.1953125,4.8828125,1.3671875
1.1548707,2,PlatformJumper-v0,s2,g3,0.1953125,3.2226562,1.5625
1.6003511,2,PlatformJumper-v0,s3,g1,4.8828125,3.3203125,2.734375
1.3676761,2,PlatformJumper-v0,s3,g2,0.390625,4.8828125,2.5390625
1.3980908,2,PlatformJumper-v0,s3,g3,0.1953125,1.5625,1.7578125
0.09354187,3,PlatformJumper-v0,ga,all,,,
3.9220712,3,PlatformJumper-v0,all,g1,4.8828125,3.8085938,2.734375
3.9178004,3,PlatformJumper-v0,all,g2,0.390625,4.8828125,2.5390625
4.07915,3,PlatformJumper-v0,all,g3,0.390625,2.8320312,2.4414062
1.0914145,3,PlatformJumper-v0,s1,g1,4.8828125,1.2695312,0.48828125
1.3116765,3,PlatformJumper-v0,s1,g2,2.8320312,4.8828125,1.3671875
1.0914145,3,PlatformJumper-v0,s1,g3,2.5390625,1.171875,0.87890625
1.4443642,3,PlatformJumper-v0,s2,g1,4.0039062,3.6132812,2.2460938
1.1250997,3,PlatformJumper-v0,s2,g2,0.09765625,4.8828125,1.2695312
1.0819504,3,PlatformJumper-v0,s2,g3,0.09765625,2.6367188,1.4648438
1.5284312,3,PlatformJumper-v0,s3,g1,4.6875,2.8320312,3.4179688
1.5302833,3,PlatformJumper-v0,s3,g2,0.09765625,4.8828125,2.2460938
1.546796,3,PlatformJumper-v0,s3,g3,0.09765625,0.9765625,2.4414062
-1.5737482,4,PlatformJumper-v0,ga,all,,,
7.5381937,4,PlatformJumper-v0,all,g1,4.8828125,2.6367188,2.6367188
3.9051502,4,PlatformJumper-v0,all,g2,0.5859375,4.8828125,2.2460938
3.9051502,4,PlatformJumper-v0,all,g3,0.5859375,2.9296875,2.4414062
1.4457858,4,PlatformJumper-v0,s1,g1,4.8828125,1.953125,2.0507812
1.5379181,4,PlatformJumper-v0,s1,g2,1.6601562,4.8828125,2.0507812
1.5109205,4,PlatformJumper-v0,s1,g3,1.2695312,1.953125,1.4648438
1.6420091,4,PlatformJumper-v0,s2,g1,4.0039062,3.3203125,1.953125
2.8106124,4,PlatformJumper-v0,s2,g2,0.09765625,4.8828125,1.953125
2.8106124,4,PlatformJumper-v0,s2,g3,0.390625,3.4179688,2.6367188
1.0293685,4,PlatformJumper-v0,s3,g1,4.1992188,1.953125,2.4414062
1.8880361,4,PlatformJumper-v0,s3,g2,0.48828125,4.8828125,2.2460938
1.8880361,4,PlatformJumper-v0,s3,g3,0.390625,1.8554688,1.953125
-1.4822711,5,PlatformJumper-v0,ga,all,,,
1.5568103,5,PlatformJumper-v0,all,g1,4.8828125,3.8085938,2.8320312
1.5627943,5,PlatformJumper-v0,all,g2,0.5859375,4.8828125,2.6367188
1.5796443,5,PlatformJumper-v0,all,g3,0.68359375,2.9296875,2.4414062
0.7902105,5,PlatformJumper-v0,s1,g1,4.8828125,0.87890625,1.8554688
1.2983239,5,PlatformJumper-v0,s1,g2,2.734375,4.8828125,3.125
1.0186504,5,PlatformJumper-v0,s1,g3,2.1484375,1.4648438,2.0507812
1.431606,5,PlatformJumper-v0,s2,g1,4.1015625,3.90625,2.1484375
1.5004447,5,PlatformJumper-v0,s2,g2,0.1953125,4.8828125,1.4648438
1.4745867,5,PlatformJumper-v0,s2,g3,0.29296875,3.90625,2.1484375
1.3918195,5,PlatformJumper-v0,s3,g1,4.0039062,2.9296875,3.2226562
1.4885854,5,PlatformJumper-v0,s3,g2,0.1953125,4.8828125,2.5390625
1.5546188,5,PlatformJumper-v0,s3,g3,0.1953125,2.6367188,1.953125
1.0607516,6,PlatformJumper-v0,ga,all,,,
1.5241517,6,PlatformJumper-v0,all,g1,4.8828125,3.4179688,1.6601562
1.38177,6,PlatformJumper-v0,all,g2,0.29296875,4.8828125,2.1484375
1.3691878,6,PlatformJumper-v0,all,g3,0.29296875,2.2460938,1.8554688
1.5569184,6,PlatformJumper-v0,s1,g1,4.8828125,1.2695312,1.171875
