iteration,max_fitness,qd_score1,qd_score2,qd_score3,coverage1,coverage2,coverage3,time,current_time
1986,7.7354527,547.9345,251.1943,2138.3013,22.851562,16.113281,64.35547,7.416524171829224,2024-04-03 09:23:08.641978
1987,7.7354527,547.8133,251.1943,2138.4106,22.949219,16.113281,64.35547,7.423847436904907,2024-04-03 09:23:16.066249
1988,7.7354527,547.8133,251.48705,2138.5188,22.949219,16.113281,64.35547,7.55642294883728,2024-04-03 09:23:23.623350
1989,7.7354527,547.8133,251.48705,2139.0464,22.949219,16.113281,64.35547,7.589328765869141,2024-04-03 09:23:31.213182
1990,7.7354527,547.8133,251.48705,2139.2144,22.949219,16.113281,64.35547,7.3928892612457275,2024-04-03 09:23:38.606639
1991,7.7354527,547.8133,251.48705,2139.649,22.949219,16.113281,64.35547,7.455698013305664,2024-04-03 09:23:46.063081
1992,7.7354527,547.8133,251.48705,2139.649,22.949219,16.113281,64.35547,7.383120536804199,2024-04-03 09:23:53.446604
1993,7.7354527,549.6509,252.23743,2144.4585,22.949219,16.113281,64.35547,7.492340564727783,2024-04-03 09:24:00.939384
1994,7.7354527,549.6509,252.23743,2144.4585,22.949219,16.113281,64.35547,7.571857929229736,2024-04-03 09:24:08.511656
1995,7.7354527,549.6509,252.23743,2145.5708,22.949219,16.113281,64.35547,7.441178560256958,2024-04-03 09:24:15.953575
1996,7.7354527,549.6509,252.23743,2145.5708,22.949219,16.113281,64.35547,7.48760199546814,2024-04-03 09:24:23.441620
1997,7.7354527,549.6509,252.23743,2145.9995,22.949219,16.113281,64.35547,7.5647807121276855,2024-04-03 09:24:31.007037
1998,7.7354527,549.6509,252.33377,2146.4443,22.949219,16.113281,64.35547,7.623530626296997,2024-04-03 09:24:38.630971
1999,7.7354527,549.6509,252.33377,2146.4443,22.949219,16.113281,64.35547,7.502433776855469,2024-04-03 09:24:46.133821
2000,7.7354527,549.7381,252.33377,2147.2925,22.949219,16.113281,64.35547,7.309242486953735,2024-04-03 09:24:53.443467
2001,7.7354527,549.7381,252.33377,2148.3098,22.949219,16.113281,64.35547,7.464548587799072,2024-04-03 09:25:00.908461
2002,7.7354527,549.85345,252.33377,2148.497,22.949219,16.113281,64.453125,7.5669591426849365,2024-04-03 09:25:08.476097
2003,7.7354527,549.85345,252.33377,2148.497,22.949219,16.113281,64.453125,7.44815731048584,2024-04-03 09:25:15.924938
2004,7.7354527,549.85345,252.33377,2149.454,22.949219,16.113281,64.453125,7.630956172943115,2024-04-03 09:25:23.556604
2005,7.7354527,549.85345,252.33377,2149.796,22.949219,16.113281,64.453125,7.343177080154419,2024-04-03 09:25:30.900236
2006,7.7354527,550.0746,252.33377,2150.0793,22.949219,16.113281,64.453125,7.384756326675415,2024-04-03 09:25:38.285522
2007,7.7354527,550.0746,252.33377,2150.0793,22.949219,16.113281,64.453125,7.247021436691284,2024-04-03 09:25:45.533198
2008,7.7354527,550.0746,252.33377,2150.9197,22.949219,16.113281,64.453125,7.347836017608643,2024-04-03 09:25:52.881547
2009,7.7354527,550.0746,252.33377,2150.9197,22.949219,16.113281,64.453125,7.739311695098877,2024-04-03 09:26:00.621643
2010,7.7354527,550.0746,252.33377,2150.9197,22.949219,16.113281,64.453125,7.4570746421813965,2024-04-03 09:26:08.079436
2011,7.7354527,550.0746,252.33377,2150.9282,22.949219,16.113281,64.453125,7.443943023681641,2024-04-03 09:26:15.523833
2012,7.7354527,550.0746,252.33377,2155.5264,22.949219,16.113281,64.453125,7.4262354373931885,2024-04-03 09:26:22.950486
2013,7.7354527,550.0746,252.33377,2161.4976,22.949219,16.113281,64.55078,7.541989326477051,2024-04-03 09:26:30.493125
2014,7.7354527,550.0746,252.33377,2163.7358,22.949219,16.113281,64.55078,7.545231342315674,2024-04-03 09:26:38.039152
2015,7.7354527,550.0746,252.33377,2167.0586,22.949219,16.113281,64.64844,7.467461824417114,2024-04-03 09:26:45.507032
2016,7.7354527,551.08734,252.33377,2168.673,22.949219,16.113281,64.64844,7.674982070922852,2024-04-03 09:26:53.182434
2017,7.7354527,551.08734,252.33377,2171.8743,22.949219,16.113281,64.64844,7.361566066741943,2024-04-03 09:27:00.544428
2018,7.7354527,551.08734,252.33377,2174.812,22.949219,16.113281,64.64844,7.457777261734009,2024-04-03 09:27:08.002666
2019,7.7354527,551.08734,252.33377,2176.684,22.949219,16.113281,64.64844,7.504331350326538,2024-04-03 09:27:15.507438
2020,7.7354527,551.08734,252.33377,2176.684,22.949219,16.113281,64.64844,7.404972076416016,2024-04-03 09:27:22.912823
2021,7.7354527,551.08734,252.33377,2176.684,22.949219,16.113281,64.64844,7.444570779800415,2024-04-03 09:27:30.357831
2022,7.7354527,552.0103,253.02824,2178.5845,22.949219,16.113281,64.64844,7.467495679855347,2024-04-03 09:27:37.825707
2023,7.7354527,552.0103,253.02824,2178.5845,22.949219,16.113281,64.64844,7.618853330612183,2024-04-03 09:27:45.444976
2024,7.7354527,552.0103,253.02824,2180.0103,22.949219,16.113281,64.64844,7.225326776504517,2024-04-03 09:27:52.670696
2025,7.7354527,552.0103,253.02824,2180.0103,22.949219,16.113281,64.64844,7.247240781784058,2024-04-03 09:27:59.918352
2026,7.7354527,552.0103,253.02824,2183.0208,22.949219,16.113281,64.64844,7.378763198852539,2024-04-03 09:28:07.297530
2027,7.7354527,552.0103,253.02824,2183.7793,22.949219,16.113281,64.64844,7.569035768508911,2024-04-03 09:28:14.867011
2028,7.7354527,552.0103,253.02824,2183.7793,22.949219,16.113281,64.64844,7.449214458465576,2024-04-03 09:28:22.316644
2029,7.7354527,552.0103,253.02824,2184.1018,22.949219,16.113281,64.64844,7.601837635040283,2024-04-03 09:28:29.919046
2030,7.7354527,552.0103,253.02824,2184.8923,22.949219,16.113281,64.64844,7.306931495666504,2024-04-03 09:28:37.226395
2031,7.7354527,552.0103,253.02824,2184.8923,22.949219,16.113281,64.64844,7.500255823135376,2024-04-03 09:28:44.727098
2032,7.7354527,552.0103,253.02824,2184.8923,22.949219,16.113281,64.64844,7.551075220108032,2024-04-03 09:28:52.278581
2033,7.7354527,552.0103,253.02824,2185.751,22.949219,16.113281,64.74609,7.427656412124634,2024-04-03 09:28:59.706675
2034,7.7354527,552.51685,253.02824,2185.755,22.949219,16.113281,64.74609,7.536242723464966,2024-04-03 09:29:07.243619
2035,7.7354527,552.51685,253.02824,2189.676,22.949219,16.113281,64.84375,7.509992837905884,2024-04-03 09:29:14.754177
2036,7.7354527,552.6167,253.02824,2194.5383,22.949219,16.113281,64.84375,7.448914051055908,2024-04-03 09:29:22.203744
2037,7.7354527,552.6167,253.02824,2194.7188,22.949219,16.113281,64.84375,7.467276334762573,2024-04-03 09:29:29.671460
2038,7.7354527,552.6167,253.02824,2194.7195,22.949219,16.113281,64.84375,7.592845678329468,2024-04-03 09:29:37.264719
2039,7.7354527,553.44104,253.02824,2197.0024,22.949219,16.113281,64.84375,7.52892541885376,2024-04-03 09:29:44.794176
2040,7.7354527,553.44104,253.02824,2197.521,22.949219,16.113281,64.84375,7.40883207321167,2024-04-03 09:29:52.203538
2041,7.7354527,553.44104,253.02824,2197.521,22.949219,16.113281,64.84375,7.365820407867432,2024-04-03 09:29:59.569792
2042,7.7354527,553.44104,253.02824,2199.565,22.949219,16.113281,64.84375,7.426431179046631,2024-04-03 09:30:06.996677
2043,7.7354527,555.1226,253.02824,2200.5854,22.949219,16.113281,64.84375,7.55507755279541,2024-04-03 09:30:14.552489
2044,7.7354527,555.1226,253.02824,2201.106,22.949219,16.113281,64.84375,7.480772495269775,2024-04-03 09:30:22.033934
2045,7.7354527,555.1918,253.02824,2202.3557,22.949219,16.113281,64.84375,7.555630207061768,2024-04-03 09:30:29.590141
2046,7.7354527,556.0052,253.02824,2203.6348,22.949219,16.113281,64.84375,7.387808322906494,2024-04-03 09:30:36.978346
2047,7.7354527,556.0052,253.02824,2204.372,22.949219,16.113281,64.84375,7.363975286483765,2024-04-03 09:30:44.342847
2048,7.7354527,556.0052,253.02824,2205.412,22.949219,16.113281,64.84375,7.397075414657593,2024-04-03 09:30:51.740519
2049,7.7354527,556.0052,253.02824,2206.0688,22.949219,16.113281,64.84375,7.551781892776489,2024-04-03 09:30:59.292873
2050,7.7354527,556.0052,253.02824,2206.2578,22.949219,16.113281,64.84375,7.63965916633606,2024-04-03 09:31:06.933239
2051,7.7354527,556.0052,253.02824,2206.2578,22.949219,16.113281,64.84375,7.365538835525513,2024-04-03 09:31:14.299302
2052,7.7354527,556.0052,253.02824,2207.052,22.949219,16.113281,64.84375,7.500802516937256,2024-04-03 09:31:21.800523
2053,7.7354527,556.0052,253.02824,2207.5474,22.949219,16.113281,64.84375,7.389591693878174,2024-04-03 09:31:29.190519
2054,7.7354527,556.0052,253.02824,2209.4521,22.949219,16.113281,64.84375,7.403350114822388,2024-04-03 09:31:36.594301
2055,7.7354527,556.0052,253.02824,2209.4521,22.949219,16.113281,64.84375,7.369574546813965,2024-04-03 09:31:43.964317
2056,7.7354527,556.0052,253.02824,2209.7546,22.949219,16.113281,64.84375,7.381346702575684,2024-04-03 09:31:51.346251
2057,7.7354527,556.68134,253.02824,2211.8628,22.949219,16.113281,64.84375,7.467603921890259,2024-04-03 09:31:58.814528
2058,7.7354527,556.68134,253.02824,2211.8628,22.949219,16.113281,64.84375,7.341611862182617,2024-04-03 09:32:06.156669
2059,7.7354527,556.7415,253.15134,2215.5269,22.949219,16.113281,64.94141,7.452611446380615,2024-04-03 09:32:13.609963
2060,7.7354527,556.7415,253.15134,2217.427,22.949219,16.113281,64.94141,7.589847087860107,2024-04-03 09:32:21.200306
2061,7.7354527,556.7415,253.15134,2217.8906,22.949219,16.113281,64.94141,7.45525860786438,2024-04-03 09:32:28.656192
2062,7.7354527,556.7415,253.15134,2217.8906,22.949219,16.113281,64.94141,7.540625810623169,2024-04-03 09:32:36.197265
2063,7.7354527,557.3691,253.15134,2217.8906,22.949219,16.113281,64.94141,7.517308950424194,2024-04-03 09:32:43.715225
2064,7.7354527,557.9157,253.15134,2218.0698,22.949219,16.113281,64.94141,7.566355228424072,2024-04-03 09:32:51.282289
2065,7.7354527,557.9157,253.15639,2221.1543,22.949219,16.113281,65.03906,7.5281641483306885,2024-04-03 09:32:58.810927
2066,7.7354527,557.9157,253.15639,2221.5571,22.949219,16.113281,65.03906,7.565575361251831,2024-04-03 09:33:06.376930
2067,7.7354527,559.0191,253.15639,2226.7844,22.949219,16.113281,65.03906,7.43662166595459,2024-04-03 09:33:13.814008
2068,7.7354527,559.0191,253.15639,2227.3313,22.949219,16.113281,65.03906,7.18784236907959,2024-04-03 09:33:21.002279
2069,7.7354527,559.10425,253.15639,2228.2861,22.949219,16.113281,65.03906,7.391752004623413,2024-04-03 09:33:28.394454
2070,7.7354527,559.10425,253.15639,2228.623,22.949219,16.113281,65.03906,7.467636585235596,2024-04-03 09:33:35.862917
2071,7.7354527,559.4116,253.15639,2229.3838,22.949219,16.113281,65.03906,7.559739589691162,2024-04-03 09:33:43.423324
2072,7.7354527,559.4116,253.15639,2229.4575,22.949219,16.113281,65.03906,7.418815851211548,2024-04-03 09:33:50.842700
2073,7.7354527,559.4116,253.15639,2230.246,22.949219,16.113281,65.03906,7.398088693618774,2024-04-03 09:33:58.241211
2074,7.7354527,559.80927,253.15639,2231.0605,22.949219,16.113281,65.03906,7.312723159790039,2024-04-03 09:34:05.554426
2075,7.7354527,559.80927,253.15639,2231.0837,22.949219,16.113281,65.03906,7.4306793212890625,2024-04-03 09:34:12.985548
2076,7.7354527,559.80927,253.15639,2232.214,22.949219,16.113281,65.03906,7.556427001953125,2024-04-03 09:34:20.542458
