max_fitness,seed,task,sampling,repertoire,coverage1,coverage2,coverage3
3.860806,4,BridgeWalker-v0,s2,g2,0.48828125,4.8828125,0.68359375
3.8066285,4,BridgeWalker-v0,s2,g3,0.390625,2.9296875,1.4648438
0.9804605,4,BridgeWalker-v0,s3,g1,3.125,2.9296875,1.171875
1.3409122,4,BridgeWalker-v0,s3,g2,0.390625,4.8828125,0.5859375
1.1013062,4,BridgeWalker-v0,s3,g3,0.29296875,2.9296875,1.7578125
6.661611,5,BridgeWalker-v0,ga,all,,,
3.8693004,5,BridgeWalker-v0,all,g1,4.8828125,3.125,2.9296875
3.9136605,5,BridgeWalker-v0,all,g2,0.78125,4.8828125,1.4648438
3.987638,5,BridgeWalker-v0,all,g3,0.9765625,2.5390625,1.171875
6.1754966,5,BridgeWalker-v0,s1,g1,4.8828125,2.0507812,1.2695312
6.1754966,5,BridgeWalker-v0,s1,g2,3.4179688,4.8828125,1.6601562
6.1754966,5,BridgeWalker-v0,s1,g3,2.6367188,1.7578125,1.3671875
2.144705,5,BridgeWalker-v0,s2,g1,4.8828125,4.6875,1.7578125
3.3982666,5,BridgeWalker-v0,s2,g2,0.5859375,4.8828125,1.171875
3.3982666,5,BridgeWalker-v0,s2,g3,0.5859375,3.2226562,1.3671875
3.6152918,5,BridgeWalker-v0,s3,g1,2.8320312,2.4414062,1.7578125
3.7970314,5,BridgeWalker-v0,s3,g2,0.48828125,4.8828125,2.34375
3.6152918,5,BridgeWalker-v0,s3,g3,0.390625,0.5859375,1.7578125
4.0086174,6,BridgeWalker-v0,ga,all,,,
6.1538124,6,BridgeWalker-v0,all,g1,4.8828125,2.8320312,0.9765625
4.7799053,6,BridgeWalker-v0,all,g2,2.9296875,4.8828125,1.171875
4.97246,6,BridgeWalker-v0,all,g3,2.6367188,3.0273438,1.3671875
6.247091,6,BridgeWalker-v0,s1,g1,4.8828125,1.8554688,0.48828125
6.247091,6,BridgeWalker-v0,s1,g2,3.7109375,4.8828125,0.78125
6.247091,6,BridgeWalker-v0,s1,g3,4.0039062,2.2460938,0.9765625
1.6986076,6,BridgeWalker-v0,s2,g1,4.8828125,4.6875,1.171875
1.7351985,6,BridgeWalker-v0,s2,g2,0.390625,4.8828125,0.87890625
1.6391875,6,BridgeWalker-v0,s2,g3,0.390625,3.125,1.0742188
0.9350454,6,BridgeWalker-v0,s3,g1,2.734375,2.34375,0.9765625
1.1233485,6,BridgeWalker-v0,s3,g2,0.29296875,4.8828125,0.87890625
0.9735139,6,BridgeWalker-v0,s3,g3,0.1953125,2.1484375,1.4648438
3.362809,7,BridgeWalker-v0,ga,all,,,
4.523372,7,BridgeWalker-v0,all,g1,4.8828125,2.734375,1.4648438
4.583233,7,BridgeWalker-v0,all,g2,2.6367188,4.8828125,1.2695312
4.523372,7,BridgeWalker-v0,all,g3,1.953125,2.0507812,1.171875
3.5766418,7,BridgeWalker-v0,s1,g1,4.8828125,1.2695312,1.4648438
3.5766418,7,BridgeWalker-v0,s1,g2,4.1992188,4.8828125,1.8554688
3.5766418,7,BridgeWalker-v0,s1,g3,3.4179688,1.4648438,1.7578125
5.1304297,7,BridgeWalker-v0,s2,g1,4.8828125,4.296875,2.1484375
6.5830355,7,BridgeWalker-v0,s2,g2,0.5859375,4.8828125,1.5625
6.5855403,7,BridgeWalker-v0,s2,g3,0.5859375,3.125,1.6601562
1.5330024,7,BridgeWalker-v0,s3,g1,3.4179688,3.125,1.3671875
2.1282904,7,BridgeWalker-v0,s3,g2,0.390625,4.8828125,1.5625
2.9397163,7,BridgeWalker-v0,s3,g3,0.390625,0.78125,1.0742188
3.4236374,8,BridgeWalker-v0,ga,all,,,
6.2790117,8,BridgeWalker-v0,all,g1,4.8828125,1.2695312,0.48828125
6.2790117,8,BridgeWalker-v0,all,g2,2.2460938,4.8828125,0.87890625
6.287274,8,BridgeWalker-v0,all,g3,1.7578125,1.0742188,0.68359375
3.7150228,8,BridgeWalker-v0,s1,g1,4.8828125,1.6601562,0.48828125
3.7150228,8,BridgeWalker-v0,s1,g2,3.515625,4.8828125,0.5859375
4.036665,8,BridgeWalker-v0,s1,g3,3.515625,2.2460938,1.171875
4.200393,8,BridgeWalker-v0,s2,g1,4.8828125,4.5898438,1.6601562
4.4725695,8,BridgeWalker-v0,s2,g2,0.29296875,4.8828125,1.2695312
4.535615,8,BridgeWalker-v0,s2,g3,0.29296875,3.125,1.2695312
0.9928642,8,BridgeWalker-v0,s3,g1,2.8320312,2.5390625,1.2695312
1.0924288,8,BridgeWalker-v0,s3,g2,0.1953125,4.8828125,0.78125
1.0315564,8,BridgeWalker-v0,s3,g3,0.29296875,2.8320312,1.5625
3.3075354,9,BridgeWalker-v0,ga,all,,,
3.6562514,9,BridgeWalker-v0,all,g1,4.8828125,2.734375,2.0507812
3.6562514,9,BridgeWalker-v0,all,g2,2.1484375,4.8828125,1.8554688
3.5680792,9,BridgeWalker-v0,all,g3,2.6367188,2.6367188,1.6601562
4.6261544,9,BridgeWalker-v0,s1,g1,4.8828125,0.9765625,1.0742188
4.6261544,9,BridgeWalker-v0,s1,g2,4.3945312,4.8828125,2.2460938
4.745699,9,BridgeWalker-v0,s1,g3,2.8320312,1.3671875,1.4648438
2.3006554,9,BridgeWalker-v0,s2,g1,4.8828125,4.3945312,1.953125
3.3775635,9,BridgeWalker-v0,s2,g2,0.78125,4.8828125,2.0507812
3.3775635,9,BridgeWalker-v0,s2,g3,0.5859375,3.515625,2.34375
0.9370695,9,BridgeWalker-v0,s3,g1,3.515625,3.125,1.5625
1.5346135,9,BridgeWalker-v0,s3,g2,0.48828125,4.8828125,1.3671875
0.89828646,9,BridgeWalker-v0,s3,g3,0.390625,2.34375,1.6601562
8.167489,0,CustomCarrier-v0,ga,all,,,
5.175545,0,CustomCarrier-v0,all,g1,4.8828125,3.0273438,3.3203125
4.575116,0,CustomCarrier-v0,all,g2,2.0507812,4.8828125,2.5390625
4.774922,0,CustomCarrier-v0,all,g3,1.3671875,2.0507812,3.125
8.267622,0,CustomCarrier-v0,s1,g1,4.8828125,1.3671875,2.4414062
7.3519325,0,CustomCarrier-v0,s1,g2,3.515625,4.8828125,3.3203125
8.267622,0,CustomCarrier-v0,s1,g3,3.2226562,1.3671875,2.734375
8.505789,0,CustomCarrier-v0,s2,g1,4.8828125,4.4921875,3.4179688
8.940132,0,CustomCarrier-v0,s2,g2,0.48828125,4.8828125,2.8320312
8.505789,0,CustomCarrier-v0,s2,g3,0.5859375,3.2226562,3.4179688
0.3150948,0,CustomCarrier-v0,s3,g1,2.8320312,2.6367188,1.171875
0.26046816,0,CustomCarrier-v0,s3,g2,0.29296875,4.8828125,0.68359375
0.37293223,0,CustomCarrier-v0,s3,g3,0.29296875,2.1484375,1.4648438
4.4581676,1,CustomCarrier-v0,ga,all,,,
7.8406124,1,CustomCarrier-v0,all,g1,4.8828125,2.734375,3.6132812
7.8406124,1,CustomCarrier-v0,all,g2,2.8320312,4.8828125,4.1015625
7.8406124,1,CustomCarrier-v0,all,g3,2.4414062,2.2460938,3.515625
6.0680184,1,CustomCarrier-v0,s1,g1,4.8828125,1.3671875,3.2226562
6.4444356,1,CustomCarrier-v0,s1,g2,4.0039062,4.8828125,3.6132812
5.797251,1,CustomCarrier-v0,s1,g3,3.3203125,0.9765625,4.296875
4.1608562,1,CustomCarrier-v0,s2,g1,4.8828125,4.5898438,3.0273438
5.6329575,1,CustomCarrier-v0,s2,g2,0.9765625,4.8828125,2.8320312
5.6329575,1,CustomCarrier-v0,s2,g3,0.5859375,2.734375,2.734375
0.42352852,1,CustomCarrier-v0,s3,g1,3.2226562,2.734375,1.3671875
0.42352852,1,CustomCarrier-v0,s3,g2,0.29296875,4.8828125,0.87890625
0.123794444,1,CustomCarrier-v0,s3,g3,0.390625,2.734375,1.953125
5.825652,2,CustomCarrier-v0,ga,all,,,
7.5787973,2,CustomCarrier-v0,all,g1,4.8828125,1.953125,3.515625
7.3581257,2,CustomCarrier-v0,all,g2,1.3671875,4.8828125,3.6132812
6.8899603,2,CustomCarrier-v0,all,g3,1.3671875,1.171875,2.8320312
3.2526205,2,CustomCarrier-v0,s1,g1,4.8828125,2.0507812,2.6367188
3.2526205,2,CustomCarrier-v0,s1,g2,3.515625,4.8828125,2.734375
3.2526205,2,CustomCarrier-v0,s1,g3,3.3203125,2.34375,3.0273438
3.9315414,2,CustomCarrier-v0,s2,g1,4.8828125,3.90625,2.8320312
6.326505,2,CustomCarrier-v0,s2,g2,0.48828125,4.8828125,2.5390625
4.896141,2,CustomCarrier-v0,s2,g3,0.68359375,2.8320312,3.3203125
0.286112,2,CustomCarrier-v0,s3,g1,2.8320312,2.2460938,1.5625
0.05747134,2,CustomCarrier-v0,s3,g2,0.29296875,4.8828125,1.3671875
0.14103459,2,CustomCarrier-v0,s3,g3,0.1953125,2.4414062,2.1484375
3.7504685,3,CustomCarrier-v0,ga,all,,,
9.142731,3,CustomCarrier-v0,all,g1,4.8828125,2.6367188,3.90625
9.142731,3,CustomCarrier-v0,all,g2,3.0273438,4.8828125,4.1015625
9.142731,3,CustomCarrier-v0,all,g3,2.5390625,2.5390625,3.6132812
4.350065,3,CustomCarrier-v0,s1,g1,4.8828125,1.7578125,1.953125
6.014193,3,CustomCarrier-v0,s1,g2,3.515625,4.8828125,3.2226562
5.823462,3,CustomCarrier-v0,s1,g3,2.34375,2.34375,2.8320312
7.2920117,3,CustomCarrier-v0,s2,g1,4.8828125,4.1015625,3.125
7.2920117,3,CustomCarrier-v0,s2,g2,0.78125,4.8828125,2.9296875
7.164377,3,CustomCarrier-v0,s2,g3,0.9765625,3.0273438,3.125
0.2841508,3,CustomCarrier-v0,s3,g1,3.8085938,3.4179688,1.8554688
0.2112979,3,CustomCarrier-v0,s3,g2,0.48828125,4.8828125,3.3203125
0.2112979,3,CustomCarrier-v0,s3,g3,0.29296875,1.7578125,4.8828125
2.796289,4,CustomCarrier-v0,ga,all,,,
3.8685608,4,CustomCarrier-v0,all,g1,4.8828125,3.125,4.0039062
2.8558595,4,CustomCarrier-v0,all,g2,0.87890625,4.8828125,3.3203125
2.6328332,4,CustomCarrier-v0,all,g3,0.9765625,1.2695312,3.515625
4.46461,4,CustomCarrier-v0,s1,g1,4.8828125,2.1484375,2.9296875
4.46461,4,CustomCarrier-v0,s1,g2,3.515625,4.8828125,3.6132812
4.46461,4,CustomCarrier-v0,s1,g3,2.4414062,1.8554688,3.3203125
5.8417,4,CustomCarrier-v0,s2,g1,4.8828125,4.3945312,1.5625
6.3904247,4,CustomCarrier-v0,s2,g2,0.48828125,4.8828125,1.7578125
6.2934723,4,CustomCarrier-v0,s2,g3,0.390625,2.9296875,3.4179688
0.35217705,4,CustomCarrier-v0,s3,g1,3.125,2.9296875,1.0742188
0.041570775,4,CustomCarrier-v0,s3,g2,0.390625,4.8828125,0.87890625
0.22864568,4,CustomCarrier-v0,s3,g3,0.29296875,2.9296875,2.0507812
8.729378,5,CustomCarrier-v0,ga,all,,,
6.0065584,5,CustomCarrier-v0,all,g1,4.8828125,3.125,3.90625
8.210766,5,CustomCarrier-v0,all,g2,0.78125,4.8828125,3.6132812
8.210766,5,CustomCarrier-v0,all,g3,0.9765625,2.5390625,3.2226562
6.810161,5,CustomCarrier-v0,s1,g1,4.8828125,2.0507812,3.3203125
5.738086,5,CustomCarrier-v0,s1,g2,3.4179688,4.8828125,3.4179688
5.738086,5,CustomCarrier-v0,s1,g3,2.6367188,1.7578125,2.734375
6.5989814,5,CustomCarrier-v0,s2,g1,4.8828125,4.6875,2.6367188
6.819752,5,CustomCarrier-v0,s2,g2,0.5859375,4.8828125,2.9296875
6.739991,5,CustomCarrier-v0,s2,g3,0.5859375,3.2226562,2.734375
6.157449,5,CustomCarrier-v0,s3,g1,2.8320312,2.4414062,1.953125
6.3030534,5,CustomCarrier-v0,s3,g2,0.48828125,4.8828125,4.1015625
6.312891,5,CustomCarrier-v0,s3,g3,0.390625,0.5859375,2.9296875
4.7275114,6,CustomCarrier-v0,ga,all,,,
3.0048523,6,CustomCarrier-v0,all,g1,4.8828125,2.8320312,2.6367188
3.0048523,6,CustomCarrier-v0,all,g2,2.9296875,4.8828125,2.734375
2.8251426,6,CustomCarrier-v0,all,g3,2.6367188,3.0273438,3.125
5.7789593,6,CustomCarrier-v0,s1,g1,4.8828125,1.8554688,1.953125
4.813,6,CustomCarrier-v0,s1,g2,3.7109375,4.8828125,2.9296875
5.9422364,6,CustomCarrier-v0,s1,g3,4.0039062,2.2460938,2.9296875
1.3412232,6,CustomCarrier-v0,s2,g1,4.8828125,4.6875,1.953125
1.7834395,6,CustomCarrier-v0,s2,g2,0.390625,4.8828125,2.6367188
2.7323713,6,CustomCarrier-v0,s2,g3,0.390625,3.125,2.6367188
0.20950249,6,CustomCarrier-v0,s3,g1,2.734375,2.34375,1.3671875
-0.09627306,6,CustomCarrier-v0,s3,g2,0.29296875,4.8828125,0.78125
0.20905714,6,CustomCarrier-v0,s3,g3,0.1953125,2.1484375,2.5390625
4.7637196,7,CustomCarrier-v0,ga,all,,,
6.762403,7,CustomCarrier-v0,all,g1,4.8828125,2.734375,3.8085938
7.2027707,7,CustomCarrier-v0,all,g2,2.6367188,4.8828125,3.515625
6.762403,7,CustomCarrier-v0,all,g3,1.953125,2.0507812,3.90625
6.43572,7,CustomCarrier-v0,s1,g1,4.8828125,1.2695312,2.5390625
5.905077,7,CustomCarrier-v0,s1,g2,4.1992188,4.8828125,3.3203125
6.521084,7,CustomCarrier-v0,s1,g3,3.4179688,1.4648438,3.515625
7.926856,7,CustomCarrier-v0,s2,g1,4.8828125,4.296875,4.0039062
9.212354,7,CustomCarrier-v0,s2,g2,0.5859375,4.8828125,2.8320312
10.856951,7,CustomCarrier-v0,s2,g3,0.5859375,3.125,2.9296875
2.163045,7,CustomCarrier-v0,s3,g1,3.4179688,3.125,1.3671875
1.990914,7,CustomCarrier-v0,s3,g2,0.390625,4.8828125,2.6367188
2.2223768,7,CustomCarrier-v0,s3,g3,0.390625,0.78125,2.5390625
3.402778,8,CustomCarrier-v0,ga,all,,,
7.8838882,8,CustomCarrier-v0,all,g1,4.8828125,1.2695312,2.1484375
8.589113,8,CustomCarrier-v0,all,g2,2.2460938,4.8828125,2.6367188
8.625863,8,CustomCarrier-v0,all,g3,1.7578125,1.0742188,2.734375
5.2106905,8,CustomCarrier-v0,s1,g1,4.8828125,1.6601562,0.9765625
5.2106905,8,CustomCarrier-v0,s1,g2,3.515625,4.8828125,1.3671875
5.2106905,8,CustomCarrier-v0,s1,g3,3.515625,2.2460938,3.6132812
6.283433,8,CustomCarrier-v0,s2,g1,4.8828125,4.5898438,2.5390625
6.978702,8,CustomCarrier-v0,s2,g2,0.29296875,4.8828125,2.8320312
10.586599,8,CustomCarrier-v0,s2,g3,0.29296875,3.125,2.5390625
0.07584491,8,CustomCarrier-v0,s3,g1,2.8320312,2.5390625,1.0742188
0.3887768,8,CustomCarrier-v0,s3,g2,0.1953125,4.8828125,0.87890625
0.1272127,8,CustomCarrier-v0,s3,g3,0.29296875,2.8320312,2.2460938
2.945434,9,CustomCarrier-v0,ga,all,,,
5.5262256,9,CustomCarrier-v0,all,g1,4.8828125,2.734375,3.2226562
5.5262256,9,CustomCarrier-v0,all,g2,2.1484375,4.8828125,2.734375
5.5262256,9,CustomCarrier-v0,all,g3,2.6367188,2.6367188,2.9296875
6.037283,9,CustomCarrier-v0,s1,g1,4.8828125,0.9765625,2.8320312
5.584763,9,CustomCarrier-v0,s1,g2,4.3945312,4.8828125,3.8085938
5.615028,9,CustomCarrier-v0,s1,g3,2.8320312,1.3671875,3.515625
2.6659276,9,CustomCarrier-v0,s2,g1,4.8828125,4.3945312,2.8320312
3.7560682,9,CustomCarrier-v0,s2,g2,0.78125,4.8828125,2.9296875
3.7560682,9,CustomCarrier-v0,s2,g3,0.5859375,3.515625,2.734375
0.39171392,9,CustomCarrier-v0,s3,g1,3.515625,3.125,1.6601562
0.1819924,9,CustomCarrier-v0,s3,g2,0.48828125,4.8828125,1.3671875
0.11996098,9,CustomCarrier-v0,s3,g3,0.390625,2.34375,1.7578125
1.6848134,0,PlatformJumper-v0,ga,all,,,
1.2996156,0,PlatformJumper-v0,all,g1,4.8828125,3.0273438,1.4648438
1.3035915,0,PlatformJumper-v0,all,g2,2.0507812,4.8828125,1.171875
1.3035915,0,PlatformJumper-v0,all,g3,1.3671875,2.0507812,1.2695312
1.3522354,0,PlatformJumper-v0,s1,g1,4.8828125,1.3671875,0.87890625
1.3559686,0,PlatformJumper-v0,s1,g2,3.515625,4.8828125,1.4648438
1.3522354,0,PlatformJumper-v0,s1,g3,3.2226562,1.3671875,0.9765625
1.5278039,0,PlatformJumper-v0,s2,g1,4.8828125,4.4921875,2.4414062
1.2819064,0,PlatformJumper-v0,s2,g2,0.48828125,4.8828125,1.6601562
1.2954559,0,PlatformJumper-v0,s2,g3,0.5859375,3.2226562,1.6601562
0.74826,0,PlatformJumper-v0,s3,g1,2.8320312,2.6367188,1.3671875
0.75300676,0,PlatformJumper-v0,s3,g2,0.29296875,4.8828125,1.3671875
1.0336041,0,PlatformJumper-v0,s3,g3,0.29296875,2.1484375,2.0507812
2.783445,1,PlatformJumper-v0,ga,all,,,
1.7272747,1,PlatformJumper-v0,all,g1,4.8828125,2.734375,1.2695312
1.7272747,1,PlatformJumper-v0,all,g2,2.8320312,4.8828125,1.8554688
1.5579432,1,PlatformJumper-v0,all,g3,2.4414062,2.2460938,1.6601562
1.3132964,1,PlatformJumper-v0,s1,g1,4.8828125,1.3671875,0.9765625
1.3718787,1,PlatformJumper-v0,s1,g2,4.0039062,4.8828125,1.4648438
1.3266574,1,PlatformJumper-v0,s1,g3,3.3203125,0.9765625,0.9765625
1.3508089,1,PlatformJumper-v0,s2,g1,4.8828125,4.5898438,1.7578125
1.3417277,1,PlatformJumper-v0,s2,g2,0.9765625,4.8828125,0.9765625
1.3466172,1,PlatformJumper-v0,s2,g3,0.5859375,2.734375,0.87890625
0.9155503,1,PlatformJumper-v0,s3,g1,3.2226562,2.734375,1.171875
0.9155503,1,PlatformJumper-v0,s3,g2,0.29296875,4.8828125,1.4648438
0.9155503,1,PlatformJumper-v0,s3,g3,0.390625,2.734375,2.5390625
-2.6101632,2,PlatformJumper-v0,ga,all,,,
2.0066743,2,PlatformJumper-v0,all,g1,4.8828125,1.953125,1.953125
1.5680639,2,PlatformJumper-v0,all,g2,1.3671875,4.8828125,1.8554688
1.5550679,2,PlatformJumper-v0,all,g3,1.3671875,1.171875,2.4414062
1.5862036,2,PlatformJumper-v0,s1,g1,4.8828125,2.0507812,1.3671875
1.5862036,2,PlatformJumper-v0,s1,g2,3.515625,4.8828125,1.5625
1.5862036,2,PlatformJumper-v0,s1,g3,3.3203125,2.34375,1.4648438
1.5198462,2,PlatformJumper-v0,s2,g1,4.8828125,3.90625,2.2460938
1.6347805,2,PlatformJumper-v0,s2,g2,0.48828125,4.8828125,1.2695312
1.6783903,2,PlatformJumper-v0,s2,g3,0.68359375,2.8320312,1.4648438
0.40286505,2,PlatformJumper-v0,s3,g1,2.8320312,2.2460938,1.6601562
0.5910482,2,PlatformJumper-v0,s3,g2,0.29296875,4.8828125,1.5625
0.949087,2,PlatformJumper-v0,s3,g3,0.1953125,2.4414062,2.8320312
-1.6189842,3,PlatformJumper-v0,ga,all,,,
1.5017909,3,PlatformJumper-v0,all,g1,4.8828125,2.6367188,1.4648438
1.6096851,3,PlatformJumper-v0,all,g2,3.0273438,4.8828125,1.5625
1.6096851,3,PlatformJumper-v0,all,g3,2.5390625,2.5390625,1.6601562
1.1139292,3,PlatformJumper-v0,s1,g1,4.8828125,1.7578125,0.9765625
1.3752664,3,PlatformJumper-v0,s1,g2,3.515625,4.8828125,1.2695312
1.46213,3,PlatformJumper-v0,s1,g3,2.34375,2.34375,0.9765625
1.5169569,3,PlatformJumper-v0,s2,g1,4.8828125,4.1015625,1.7578125
1.5182148,3,PlatformJumper-v0,s2,g2,0.78125,4.8828125,2.34375
1.5097766,3,PlatformJumper-v0,s2,g3,0.9765625,3.0273438,1.953125
0.8006054,3,PlatformJumper-v0,s3,g1,3.8085938,3.4179688,1.8554688
0.9731752,3,PlatformJumper-v0,s3,g2,0.48828125,4.8828125,2.34375
1.0057373,3,PlatformJumper-v0,s3,g3,0.29296875,1.7578125,1.8554688
-2.799267,4,PlatformJumper-v0,ga,all,,,
1.5552089,4,PlatformJumper-v0,all,g1,4.8828125,3.125,2.9296875
1.1225866,4,PlatformJumper-v0,all,g2,0.87890625,4.8828125,2.1484375
1.1225866,4,PlatformJumper-v0,all,g3,0.9765625,1.2695312,2.6367188
1.4104227,4,PlatformJumper-v0,s1,g1,4.8828125,2.1484375,1.7578125
1.4104227,4,PlatformJumper-v0,s1,g2,3.515625,4.8828125,1.8554688
1.416869,4,PlatformJumper-v0,s1,g3,2.4414062,1.8554688,1.8554688
1.3114042,4,PlatformJumper-v0,s2,g1,4.8828125,4.3945312,2.1484375
1.1047947,4,PlatformJumper-v0,s2,g2,0.48828125,4.8828125,1.0742188
1.2753743,4,PlatformJumper-v0,s2,g3,0.390625,2.9296875,1.6601562
0.6973398,4,PlatformJumper-v0,s3,g1,3.125,2.9296875,1.171875
0.78648865,4,PlatformJumper-v0,s3,g2,0.390625,4.8828125,1.171875
1.0902197,4,PlatformJumper-v0,s3,g3,0.29296875,2.9296875,2.734375
2.174508,5,PlatformJumper-v0,ga,all,,,
1.5248393,5,PlatformJumper-v0,all,g1,4.8828125,3.125,2.34375
2.838552,5,PlatformJumper-v0,all,g2,0.78125,4.8828125,2.0507812
1.537489,5,PlatformJumper-v0,all,g3,0.9765625,2.5390625,1.4648438
1.6036018,5,PlatformJumper-v0,s1,g1,4.8828125,2.0507812,1.7578125
1.6036018,5,PlatformJumper-v0,s1,g2,3.4179688,4.8828125,1.7578125
1.490779,5,PlatformJumper-v0,s1,g3,2.6367188,1.7578125,1.6601562
1.4852661,5,PlatformJumper-v0,s2,g1,4.8828125,4.6875,2.5390625
1.4250221,5,PlatformJumper-v0,s2,g2,0.5859375,4.8828125,1.0742188
1.4256904,5,PlatformJumper-v0,s2,g3,0.5859375,3.2226562,0.9765625
1.3860095,5,PlatformJumper-v0,s3,g1,2.8320312,2.4414062,1.5625
1.3864868,5,PlatformJumper-v0,s3,g2,0.48828125,4.8828125,1.2695312
1.3886188,5,PlatformJumper-v0,s3,g3,0.390625,0.5859375,0.48828125
1.3151569,6,PlatformJumper-v0,ga,all,,,
1.1815122,6,PlatformJumper-v0,all,g1,4.8828125,2.8320312,1.171875
1.1680864,6,PlatformJumper-v0,all,g2,2.9296875,4.8828125,1.171875
1.1836514,6,PlatformJumper-v0,all,g3,2.6367188,3.0273438,1.4648438
1.1800407,6,PlatformJumper-v0,s1,g1,4.8828125,1.8554688,1.0742188
